team,match_up,game_date,w_l,min,pts,fgm,fga,fgp,tpm,tpa,tpp,ftm,fta,ftp,oreb,dreb,reb,ast,stl,blk,tov,pf,p_m,offrtg,derftg,netrtg,astp,astto,astr,orebp,drebp,rebp,tovp,efgp,tsp,pace,pie
WAS,WAS @ CHA,44661,L,240,108,42,94,44.7,8,23,34.8,16,26,61.5,17,26,43,25,12,3,11,16,-16,108,125.3,-17.3,59.5,2.27,17.4,33.3,62.8,46,11,48.9,51.2,99.5,42.2
WAS,WAS vs. NYK,44659,L,240,92,35,69,50.7,9,28,32.1,13,17,76.5,2,35,37,21,5,5,22,19,-22,93.9,116.3,-22.4,60,0.95,17.4,5.7,77.1,47,22.4,57.2,60.1,98,40.8
WAS,WAS @ ATL,44657,L,240,103,42,86,48.8,10,35,28.6,9,11,81.8,6,38,44,26,4,4,14,17,-15,104,121.6,-17.6,61.9,1.86,19.3,22.7,80,53.2,14.1,54.7,56.7,98,45.2
WAS,WAS @ MIN,44656,W,240,132,56,101,55.4,13,30,43.3,7,14,50,9,43,52,38,4,4,10,25,18,124.5,108.6,16,67.9,3.8,24.4,25,84.9,56.4,9.4,61.9,61.6,105.5,57.6
WAS,WAS @ BOS,44654,L,240,102,38,82,46.3,8,21,38.1,18,20,90,7,25,32,21,4,2,12,14,-42,106.3,150,-43.8,55.3,1.75,16.7,20.5,75,45,12.5,51.2,56.2,96,34.6
WAS,WAS vs. DAL,44652,W,240,135,49,90,54.4,17,33,51.5,20,22,90.9,8,37,45,33,7,4,9,19,32,137.8,105.1,32.7,67.3,3.67,23.4,23.8,82.6,54.5,9.2,63.9,67.7,98,64.8
WAS,WAS vs. ORL,44650,W,240,127,47,92,51.1,13,36,36.1,20,26,76.9,12,39,51,35,5,8,12,15,17,123.3,106.8,16.5,74.5,2.92,22.9,31.9,72.4,54.3,11.7,58.2,61.4,103,62.2
WAS,WAS vs. CHI,44649,L,240,94,38,79,48.1,6,26,23.1,12,17,70.6,7,30,37,25,6,7,14,17,-13,101.1,116.3,-15.2,65.8,1.79,19.4,25,76.7,50.6,15.1,51.9,54.3,92.5,44.2
WAS,WAS vs. GSW,44647,W,240,123,44,84,52.4,16,28,57.1,19,22,86.4,5,37,42,33,5,8,12,24,8,123,116.2,6.8,75,2.75,23.6,17.1,69.6,47.4,12,61.9,65.6,99.5,58.1
WAS,WAS @ DET,44645,W,240,100,36,83,43.4,9,30,30,19,21,90.5,5,40,45,23,6,7,17,15,3,98,95.1,2.9,63.9,1.35,17.3,16.7,73.7,47.6,16.7,48.8,54.2,102,54
WAS,WAS @ MIL,44644,L,240,102,43,92,46.7,11,38,28.9,5,9,55.6,12,29,41,25,9,1,11,17,-12,105.2,117.5,-12.4,58.1,2.27,18.5,25,79.5,48.4,11.3,52.7,53.1,97,45.6
WAS,WAS @ HOU,44641,L,240,97,35,85,41.2,6,29,20.7,21,24,87.5,10,37,47,24,7,6,11,15,-18,101,121.1,-20,68.6,2.18,18,26.9,86.7,54.6,11.5,44.7,50.8,95.5,45
WAS,WAS vs. LAL,44639,W,240,127,44,85,51.8,13,31,41.9,26,31,83.9,7,29,36,30,10,1,8,13,8,128.3,119,9.3,68.2,3.75,21.7,20.9,70.5,46,8.1,59.4,64.4,99.5,56.6
WAS,WAS @ NYK,44638,L,240,97,34,79,43,13,34,38.2,16,21,76.2,3,35,38,19,2,6,13,27,-3,99,103.1,-4.1,55.9,1.46,15.6,12.5,62.3,40.4,13.3,51.3,55,97.5,46.1
WAS,WAS vs. DEN,44636,L,240,109,41,87,47.1,5,23,21.7,22,31,71,13,35,48,26,7,8,11,18,-18,107.9,127,-19.1,63.4,2.36,18.4,30,79.5,53.2,10.9,50,54.2,100.5,45.8
WAS,WAS @ GSW,44634,L,240,112,42,82,51.2,10,26,38.5,18,23,78.3,5,30,35,28,7,1,12,18,-14,112,124.8,-12.8,66.7,2.33,21.1,11.4,80.5,44.7,12,57.3,60.8,100.5,45.7
WAS,WAS @ POR,44632,L,240,118,39,83,47,14,34,41.2,26,27,96.3,9,26,35,26,7,8,15,16,-9,119.2,128.3,-9.1,66.7,1.73,19,28.9,66.7,47.8,15.2,55.4,62.2,99,48.2
WAS,WAS @ LAL,44631,L,240,109,39,85,45.9,9,27,33.3,22,33,66.7,14,33,47,21,6,6,11,18,-13,112.4,125.8,-13.4,53.8,1.91,15.6,33.3,75.6,53.1,11.3,51.2,54.8,97,47
WAS,WAS @ LAC,44629,L,240,109,41,87,47.1,10,27,37,17,20,85,9,32,41,26,10,3,13,13,-6,112.4,118.6,-6.2,63.4,2,19.1,27.1,79.1,51.6,13.4,52.9,56.9,97,48.5
WAS,WAS vs. IND,44626,W,240,133,45,86,52.3,17,42,40.5,26,32,81.3,5,31,36,33,6,4,6,16,10,133,123,10,73.3,5.5,23.4,18.2,76.7,47.1,6,62.2,66.4,100,54
WAS,WAS vs. ATL,44624,L,240,114,46,85,54.1,14,29,48.3,8,9,88.9,7,34,41,37,2,7,14,29,-3,120,124.5,-4.5,80.4,2.64,26.2,23.1,67.3,48.9,14.7,62.4,64.1,94.5,53.4
WAS,WAS vs. DET,44621,W,240,116,41,82,50,13,26,50,21,26,80.8,12,30,42,29,6,8,15,22,3,119.6,117.7,1.9,70.7,1.93,21,31.8,69.4,51.6,15.5,57.9,62.1,96.5,52.3
WAS,WAS @ CLE,44618,L,240,86,35,81,43.2,11,23,47.8,5,6,83.3,7,35,42,19,8,7,18,24,-6,92.5,97.9,-5.4,54.3,1.06,15.7,19.1,69.8,46,19.4,50,51.4,93.5,42.6
WAS,WAS vs. SAS,44617,L,290,153,59,108,54.6,16,38,42.1,19,24,79.2,11,28,39,36,10,5,16,29,-4,123.4,128.7,-5.3,61,2.25,20.6,28.8,63,46.2,12.9,62,64.5,101.79,48.3
WAS,WAS @ BKN,44609,W,240,117,46,83,55.4,12,24,50,13,16,81.3,8,30,38,26,10,7,16,21,14,120.6,105.1,15.5,56.5,1.63,19.5,25,66.1,49,16.5,62.7,65,97.5,62.2
WAS,WAS @ IND,44608,L,240,108,39,91,42.9,17,37,45.9,13,16,81.3,12,32,44,25,7,3,13,20,-5,111.3,114.1,-2.8,64.1,1.92,18.2,28.3,77.8,51,13.4,52.2,55.1,98,43.6
WAS,WAS vs. DET,44606,W,240,103,40,85,47.1,9,29,31,14,18,77.8,10,35,45,21,8,3,15,16,9,108.4,98.9,9.5,52.5,1.4,16.3,28.3,72.2,52,15.8,52.4,55.4,95,57.2
WAS,WAS vs. SAC,44604,L,240,110,41,88,46.6,13,38,34.2,15,21,71.4,10,22,32,26,11,3,10,19,-13,114.6,128.1,-13.5,63.4,2.6,19.1,27.5,77.1,47.7,10.4,54,56.6,96,43.2
WAS,WAS vs. BKN,44602,W,240,113,43,85,50.6,11,31,35.5,16,18,88.9,10,31,41,29,7,5,12,23,1,118.9,117.9,1.1,67.4,2.42,21.5,25.6,69.6,48.3,12.6,57.1,60.8,95,53.4
WAS,WAS vs. MIA,44599,L,240,100,36,80,45,7,31,22.6,21,23,91.3,7,26,33,25,10,0,17,18,-21,101,121,-20,69.4,1.47,18.8,20.5,81.8,46.8,17.2,49.4,55.5,99.5,42.1
WAS,WAS vs. PHX,44597,L,240,80,30,85,35.3,5,24,20.8,15,19,78.9,8,34,42,14,8,4,9,17,-15,87.9,103.3,-15.3,46.7,1.56,12.1,19.6,58.1,39.8,9.9,38.2,42.8,91.5,38.1
WAS,WAS @ PHI,44594,W,240,106,41,90,45.6,9,22,40.9,15,19,78.9,15,37,52,25,1,5,10,14,3,117.8,113.2,4.6,61,2.5,18.7,36.5,76.5,56.3,11.1,50.6,53.9,90.5,53.4
WAS,WAS @ MIL,44593,L,240,98,36,82,43.9,12,35,34.3,14,20,70,7,33,40,22,4,5,12,16,-14,105.4,119.1,-13.8,61.1,1.83,17.6,20.4,71.7,45.3,12.9,51.2,54,93.5,42.3
WAS,WAS @ MEM,44590,L,240,95,35,84,41.7,10,29,34.5,15,21,71.4,7,30,37,27,6,5,12,12,-20,102.2,123.7,-21.5,77.1,2.25,20.3,24.1,58.2,41.3,12.9,47.6,50.9,93,42.4
WAS,WAS vs. LAC,44586,L,240,115,37,80,46.3,9,27,33.3,32,40,80,10,42,52,25,4,7,19,24,-1,108.5,108.4,0.1,67.6,1.32,17.5,24.5,74.1,51.4,17.9,51.9,58.9,106.5,50.8
WAS,WAS vs. BOS,44584,L,240,87,33,93,35.5,8,34,23.5,13,16,81.3,9,35,44,20,8,6,7,14,-29,89.7,119.6,-29.9,60.6,2.86,15.6,18,68.6,41.1,7.2,39.8,43.5,97,38.6
